label,REAL.DEPTH
Multiple,34.2
Background,34.2
Psectrocladius spp,34.2
Background,34.2
Psectrocladius spp,34.2
Background,34.2
Particles,34.2
Background,34.2
Particles,34.2
Micropsectra radialis,34.2
Fragmented hc,34.2
Particles,34.2
Particles,34.2
Background,34.2
Corynoneura spp,34.2
Corynoneura spp,34.2
Background,34.2
Particles,34.2
Fragmented hc,34.2
Particles,34.2
Background,34.2
Background,34.2
Background,34.2
Background,34.2
Particles,34.2
Background,34.2
Fragmented hc,34.2
Background,34.2
Background,34.2
Fragmented hc,34.2
Psectrocladius spp,34.2
Corynoneura spp,34.2
Psectrocladius spp,34.2
Multiple,34.2
Psectrocladius spp,34.2
Mandible,34.2
Background,34.2
Background,34.2
Psectrocladius spp,34.2
Corynoneura spp,34.2
Background,34.2
Fragmented hc,34.2
Fragmented hc,34.2
Fragmented hc,34.2
Background,34.2
Background,34.2
Background,34.2
Background,34.2
Fragmented hc,34.2
Blurry specimens,34.2
Background,34.2
Psectrocladius spp,34.2
Psectrocladius spp,34.2
Particles,34.2
Corynoneura spp,34.2
Fragmented hc,34.2
Particles,34.2
Multiple,34.2
Corynoneura spp,34.2
Chaoborus th,34.2
Chironomus spp,34.2
Fragmented hc,34.2
Background,34.2
Multiple,34.2
Fragmented hc,34.2
Particles,34.2
Psectrocladius spp,34.2
Particles,34.2
Psectrocladius spp,34.2
Pollen,34.2
Fragmented hc,34.2
Psectrocladius spp,34.2
Psectrocladius spp,34.2
Mandible,34.2
Fragmented hc,34.2
Background,34.2
Background,34.2
Psectrocladius spp,34.2
Background,34.2
Background,34.2
Particles,34.2
Background,34.2
Multiple,34.2
Fragmented hc,34.2
Fragmented hc,34.2
Background,34.2
Psectrocladius spp,34.2
Corynoneura spp,34.2
Psectrocladius spp,34.2
Pollen,34.2
Fragmented hc,34.2
Psectrocladius spp,34.2
Tanypodinae,34.2
Background,34.2
Corynoneura spp,34.2
Background,34.2
Background,34.2
Fragmented hc,34.2
Psectrocladius spp,34.2
Corynoneura spp,34.2
Particles,34.2
Pollen,34.2
Psectrocladius spp,34.2
Pollen,34.2
Psectrocladius spp,34.2
Psectrocladius spp,34.2
Diatom,34.2
Fragmented hc,34.2
Pollen,34.2
Micropsectra radialis,34.2
Background,34.2
Psectrocladius spp,34.2
Psectrocladius spp,34.2
Micropsectra radialis,34.2
Orthocladiinae Diamesinae,34.2
Psectrocladius spp,34.2
Micropsectra radialis,34.2
Fragmented hc,34.2
Background,34.2
Particles,34.2
Background,34.2
Pollen,34.2
Pollen,34.2
Corynoneura spp,34.2
Psectrocladius spp,34.2
Psectrocladius spp,34.2
Particles,45.7
Psectrocladius spp,45.7
Fragmented hc,45.7
Multiple,45.7
Fragmented hc,45.7
Fragmented hc,45.7
Particles,45.7
Fragmented hc,45.7
Corynoneura spp,45.7
Particles,45.7
Particles,45.7
Particles,45.7
Psectrocladius spp,45.7
Background,45.7
Background,45.7
Psectrocladius spp,45.7
Pollen,45.7
Fragmented hc,45.7
Fragmented hc,45.7
Fragmented hc,45.7
Fragmented hc,45.7
Psectrocladius spp,45.7
Particles,45.7
Psectrocladius spp,45.7
Corynoneura spp,45.7
Pollen,45.7
Pollen,45.7
Psectrocladius spp,45.7
Particles,45.7
Psectrocladius spp,45.7
Fragmented hc,45.7
Blurry specimens,45.7
Background,45.7
Psectrocladius spp,45.7
Psectrocladius spp,45.7
Blurry specimens,45.7
Particles,45.7
Corynoneura spp,45.7
Background,45.7
Pollen,45.7
Background,45.7
Background,45.7
Fragmented hc,45.7
Particles,45.7
Fragmented hc,45.7
Particles,45.7
Tanypodinae,45.7
Psectrocladius spp,45.7
Particles,45.7
Particles,45.7
Corynoneura spp,45.7
Tanypodinae,45.7
Psectrocladius spp,45.7
Particles,45.7
Psectrocladius spp,45.7
Fragmented hc,45.7
Particles,45.7
Corynoneura spp,45.7
Background,45.7
Psectrocladius spp,45.7
Psectrocladius spp,45.7
unsure,45.7
Fragmented hc,45.7
Background,45.7
Fragmented hc,45.7
Background,45.7
Background,45.7
Orthocladiinae Diamesinae,45.7
Fragmented hc,45.7
Psectrocladius spp,45.7
Background,45.7
Psectrocladius spp,45.7
Psectrocladius spp,45.7
Pollen,45.7
Background,45.7
Fragmented hc,45.7
Fragmented hc,45.7
Particles,45.7
Background,45.7
Psectrocladius spp,45.7
Fragmented hc,45.7
Mandible,45.7
Psectrocladius spp,45.7
Psectrocladius spp,45.7
Psectrocladius spp,45.7
Particles,45.7
Multiple,45.7
Background,45.7
Particles,45.7
Background,45.7
Particles,45.7
Psectrocladius spp,45.7
Multiple,45.7
Particles,45.7
Particles,45.7
Micropsectra radialis,45.7
Corynoneura spp,45.7
Corynoneura spp,45.7
Corynoneura spp,45.7
Fragmented hc,45.7
Corynoneura spp,45.7
Particles,45.7
Orthocladiinae Diamesinae,45.7
Background,45.7
Blurry specimens,45.7
Pollen,45.7
Fragmented hc,45.7
Background,45.7
Fragmented hc,45.7
Background,45.7
Background,45.7
Psectrocladius spp,45.7
Psectrocladius spp,45.7
Background,45.7
Blurry specimens,45.7
Background,45.7
unsure,45.7
Corynoneura spp,45.7
Particles,45.7
Fragmented hc,45.7
Psectrocladius spp,45.7
Corynoneura spp,45.7
Chironomus spp,45.7
Psectrocladius spp,45.7
Fragmented hc,45.7
Particles,45.7
Background,45.7
Fragmented hc,45.7
Fragmented hc,45.7
Fragmented hc,45.7
Psectrocladius spp,45.7
Background,45.7
Background,45.7
Particles,45.7
Psectrocladius spp,45.7
Fragmented hc,45.7
Psectrocladius spp,45.7
Psectrocladius spp,45.7
Particles,45.7
Psectrocladius spp,45.7
Psectrocladius spp,45.7
Particles,45.7
Pollen,45.7
