Depth,Taxa
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Micropsectra radialis
11.5,Multiple
11.5,Micropsectra radialis
11.5,Heterotrissocladius marcidus
11.5,Fragmented hc
11.5,Multiple
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Micropsectra radialis
11.5,Multiple
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Micropsectra radialis
11.5,Particles
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Multiple
11.5,Fragmented hc
11.5,Micropsectra radialis
11.5,Background
11.5,Corynoneura spp
11.5,Fragmented hc
11.5,Particles
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Background
11.5,Fragmented hc
11.5,Particles
11.5,Fragmented hc
11.5,Particles
11.5,Fragmented hc
11.5,Orthocladiinae Diamesinae
11.5,Background
11.5,Fragmented hc
11.5,Micropsectra insignilobus
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Background
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Multiple
11.5,Particles
11.5,Psectrocladius spp
11.5,Corynoneura spp
11.5,unsure
11.5,Fragmented hc
11.5,Multiple
11.5,Heterotrissocladius marcidus
11.5,Background
11.5,Micropsectra insignilobus
11.5,Corynoneura spp
11.5,Particles
11.5,Particles
11.5,Particles
11.5,Fragmented hc
11.5,Particles
11.5,Fragmented hc
11.5,Background
11.5,Heterotrissocladius marcidus
11.5,Mandible
11.5,Corynoneura spp
11.5,Fragmented hc
11.5,Fragmented hc
11.5,unsure
11.5,Heterotrissocladius marcidus
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Corynoneura spp
11.5,Fragmented hc
11.5,Corynoneura spp
11.5,Fragmented hc
11.5,Psectrocladius spp
11.5,Heterotrissocladius marcidus
11.5,Corynoneura spp
11.5,Heterotrissocladius marcidus
11.5,Background
11.5,Particles
11.5,Fragmented hc
11.5,Multiple
11.5,Corynoneura spp
11.5,Orthocladiinae Diamesinae
11.5,Microtendipes pedellus
11.5,Background
11.5,Tanytarsus lugens
11.5,Particles
11.5,Heterotrissocladius marcidus
11.5,Mandible
11.5,Pentaneurini spp
11.5,Background
11.5,Multiple
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Background
11.5,Fragmented hc
11.5,Particles
11.5,Corynoneura spp
11.5,Heterotrissocladius marcidus
11.5,Fragmented hc
11.5,Pentaneurini spp
11.5,Fragmented hc
11.5,Background
11.5,Corynoneura spp
11.5,Particles
11.5,Fragmented hc
11.5,Corynoneura spp
11.5,Fragmented hc
11.5,Background
11.5,Fragmented hc
11.5,Particles
11.5,Fragmented hc
11.5,Micropsectra radialis
