"","Lake","Temperature","Depth","Taxa_lake","Taxa","size","count","data_type"
"101","laguna de Rio Seco",8.92970642,68.8,"Pentaneurini spp.laguna de Rio Seco","Pentaneurini spp",385.381943,7,"downcore"
"102","laguna de Rio Seco",8.92970642,68.8,"Psectrocladius spp.laguna de Rio Seco","Psectrocladius spp",578.0746158,22,"downcore"
"103","laguna de Rio Seco",9.076938377,91.9,"Paratanytarsus austriacus.laguna de Rio Seco","Paratanytarsus austriacus",818.630066,2,"downcore"
"104","laguna de Rio Seco",9.076938377,91.9,"Corynoneura spp.laguna de Rio Seco","Corynoneura spp",308.781514,21,"downcore"
"105","laguna de Rio Seco",9.076938377,91.9,"Tanytarsus spp.laguna de Rio Seco","Tanytarsus spp",400.977661,2,"downcore"
"106","laguna de Rio Seco",9.076938377,91.9,"Heterotrissocladius marcidus.laguna de Rio Seco","Heterotrissocladius marcidus",350.124481,11,"downcore"
"107","laguna de Rio Seco",9.076938377,91.9,"Psectrocladius spp.laguna de Rio Seco","Psectrocladius spp",610.1072236,22,"downcore"
"108","laguna de Rio Seco",9.076938377,91.9,"Micropsectra radialis.laguna de Rio Seco","Micropsectra radialis",687.221228,23,"downcore"
"109","laguna de Rio Seco",9.076938377,91.9,"Micropsectra insignilobus.laguna de Rio Seco","Micropsectra insignilobus",80.590866,1,"downcore"
"110","laguna de Rio Seco",9.076938377,91.9,"Pentaneurini spp.laguna de Rio Seco","Pentaneurini spp",672.252182,7,"downcore"
"111","laguna de Rio Seco",9.076938377,91.9,"Orthocladiinae Diamesinae.laguna de Rio Seco","Orthocladiinae Diamesinae",1001.611524,17,"downcore"
"112","laguna de Rio Seco",9.076938377,91.9,"Tanypodinae.laguna de Rio Seco","Tanypodinae",646.6606753,16,"downcore"
"113","laguna de Rio Seco",9.185580012,80.5,"Tanypodinae.laguna de Rio Seco","Tanypodinae",469.629761,16,"downcore"
"114","laguna de Rio Seco",9.185580012,80.5,"Corynoneura spp.laguna de Rio Seco","Corynoneura spp",297.6268835,21,"downcore"
"115","laguna de Rio Seco",9.185580012,80.5,"Pentaneurini spp.laguna de Rio Seco","Pentaneurini spp",180.572037,7,"downcore"
"116","laguna de Rio Seco",9.185580012,80.5,"Micropsectra radialis.laguna de Rio Seco","Micropsectra radialis",559.725723,23,"downcore"
"117","laguna de Rio Seco",9.185580012,80.5,"Psectrocladius spp.laguna de Rio Seco","Psectrocladius spp",606.4621872,22,"downcore"
"118","laguna de Rio Seco",9.185580012,80.5,"Chaoborus mandible.laguna de Rio Seco","Chaoborus mandible",30.346658,3,"downcore"
"119","laguna de Rio Seco",9.185580012,80.5,"Orthocladiinae Diamesinae.laguna de Rio Seco","Orthocladiinae Diamesinae",460.297638,17,"downcore"
"120","laguna de Rio Seco",9.213016689,119.1,"Micropsectra radialis.laguna de Rio Seco","Micropsectra radialis",891.6661716,23,"downcore"
"121","laguna de Rio Seco",9.213016689,119.1,"Tanypodinae.laguna de Rio Seco","Tanypodinae",386.546661,16,"downcore"
"122","laguna de Rio Seco",9.213016689,119.1,"Heterotrissocladius marcidus.laguna de Rio Seco","Heterotrissocladius marcidus",436.931366,11,"downcore"
"123","laguna de Rio Seco",9.213016689,119.1,"Psectrocladius spp.laguna de Rio Seco","Psectrocladius spp",583.9581463,22,"downcore"
"124","laguna de Rio Seco",9.213016689,119.1,"Corynoneura spp.laguna de Rio Seco","Corynoneura spp",361.0537849,21,"downcore"
"125","laguna de Rio Seco",9.869083358,121.15,"Corynoneura spp.laguna de Rio Seco","Corynoneura spp",402.993932,21,"downcore"
"126","laguna de Rio Seco",9.869083358,121.15,"Chironomus spp.laguna de Rio Seco","Chironomus spp",559.113281,8,"downcore"
