Taxa,Depth below sediment water interface (cm)
Chironomus spp,1047.5
Microtendipes,1048.5
Pseudochironomus spp,1048.5
Acari spp,1048.5
Acari spp,1048.5
Acari spp,1048.5
Acari spp,1048.5
Mentum,1048.5
Mentum,1048.5
Acari spp,1048.5
Pseudochironomus spp,1048.5
Pseudochironomus spp,1048.5
Acari spp,1048.5
Mentum,1048.5
Pseudochironomus spp,1048.5
Mentum,1048.5
Pseudochironomus spp,1048.5
Blurry specimens,1048.5
Acari spp,1048.5
Acari spp,1048.5
Acari spp,1048.5
Mentum,1048.5
Blurry specimens,1048.5
Blurry specimens,1048.5
Blurry specimens,1048.5
Acari spp,1048.5
Pseudochironomus spp,1048.5
Tanytarsus spp,1048.5
Dicrotendipes spp,1048.5
Mentum,1048.5
Acari spp,1048.5
Pseudochironomus spp,1048.5
Multiple,1048.5
Polypedilum spp,1048.5
Blurry specimens,1048.5
Dicrotendipes spp,1048.5
Blurry specimens,1048.5
Acari spp,1048.5
Pseudochironomus spp,1048.5
Mentum,1048.5
Pseudochironomus spp,1048.5
Fragmented hc,1048.5
Blurry specimens,1048.5
Mentum,1048.5
Acari spp,1048.5
Blurry specimens,1048.5
Chironomus spp,1048.5
Acari spp,1048.5
Mentum,1048.5
Acari spp,1048.5
Chironomus spp,1048.5
Mentum,1048.5
Chaoborus mandible,1048.5
Mentum,1048.5
Pseudochironomus spp,1048.5
Fragmented hc,1048.5
Pseudochironomus spp,1048.5
Background,1048.5
Stictochironomus rosenschoeldi,1048.5
Stictochironomus rosenschoeldi,1048.5
Blurry specimens,1048.5
Microtendipes,1048.5
Tanytarsus spp,1048.5
Chironomus spp,1048.5
Acari spp,1048.5
Pseudochironomus spp,1048.5
Chaoborus mandible,1048.5
Pseudochironomus spp,1048.5
Mentum,1048.5
Microtendipes,1048.5
Microtendipes,1048.5
Acari spp,1048.5
Background,1048.5
unsure,1048.5
Multiple,1048.5
Mentum,1048.5
Mandible,1048.5
Pseudochironomus spp,1048.5
Pseudochironomus spp,1048.5
Micropsectra insignilobus,1048.5
Pseudochironomus spp,1048.5
Acari spp,1048.5
Tanytarsus lugens,1048.5
Fragmented hc,1048.5
Mentum,1048.5
Microtendipes,1048.5
Acari spp,1048.5
Acari spp,1048.5
Fragmented hc,1048.5
Fragmented hc,1048.5
Psectrocladius spp,1048.5
Acari spp,1048.5
Chironomus spp,1048.5
others,1048.5
Microtendipes,1048.5
Pseudochironomus spp,1048.5
Fragmented hc,1048.5
Chaoborus mandible,1048.5
Pseudochironomus spp,1048.5
Particles,1048.5
Acari spp,1048.5
Blurry specimens,1048.5
Fragmented hc,1048.5
Paratanytarsus austriacus,1048.5
Fragmented hc,1048.5
unsure,1048.5
Acari spp,1048.5
Fragmented hc,1048.5
Chironomus spp,1048.5
Fragmented hc,1048.5
Tanytarsus lugens,1048.5
Fragmented hc,1048.5
Acari spp,1048.5
Fragmented hc,1048.5
Microtendipes,1048.5
Blurry specimens,1048.5
Blurry specimens,1048.5
Particles,1048.5
Acari spp,1048.5
Acari spp,1048.5
Micropsectra insignilobus,1048.5
Tanytarsus lugens,1048.5
Blurry specimens,1048.5
Micropsectra insignilobus,1048.5
Multiple,1048.5
Acari spp,1048.5
Particles,1048.5
Blurry specimens,1048.5
Mentum,1048.5
Blurry specimens,1048.5
Mentum,1048.5
Particles,1048.5
Microtendipes,1048.5
Fragmented hc,1048.5
Microtendipes,1048.5
Microtendipes,1048.5
Background,1048.5
Paratanytarsus austriacus,1048.5
Fragmented hc,1048.5
Microtendipes,1048.5
Blurry specimens,1048.5
Blurry specimens,1048.5
Background,1048.5
Mentum,1048.5
Blurry specimens,1048.5
Background,1048.5
Mentum,1048.5
Microtendipes,1048.5
Blurry specimens,1048.5
Fragmented hc,1048.5
Blurry specimens,1048.5
Mentum,1048.5
Acari spp,1048.5
Microtendipes,1048.5
Fragmented hc,1048.5
Blurry specimens,1048.5
Blurry specimens,1048.5
Fragmented hc,1048.5
Blurry specimens,1048.5
Blurry specimens,1048.5
Blurry specimens,1048.5
Micropsectra insignilobus,1048.5
Fragmented hc,1048.5
Particles,1048.5
Fragmented hc,1048.5
Mentum,1048.5
Background,1048.5
Blurry specimens,1048.5
Chaoborus mandible,1048.5
Chironomus spp,1048.5
Blurry specimens,1048.5
Pseudochironomus spp,1048.5
Particles,1048.5
Blurry specimens,1048.5
Corynoneura spp,1048.5
Mentum,1048.5
Acari spp,1048.5
Blurry specimens,1048.5
Fragmented hc,1048.5
Particles,1048.5
Chironomus spp,1050.5
Acari spp,1050.5
Acari spp,1050.5
Blurry specimens,1050.5
